id,titulo,autor,precio,idEditorial
1,Kanlam,Nathan Aldgate,963,8
2,Tresom,Costanza Semken,1283,6
3,Alpha,Valentia Gorst,1251,2
4,Namfix,Kipp Drewson,1564,4
5,Rank,Donica Mateo,1465,4
6,Wrapsafe,Clemens Brayley,576,10
7,Overhold,Miltie D'Emanuele,1160,4
8,Stim,Fergus Shoubridge,332,8
9,Cardify,Nathanael Cleeve,1426,6
10,Zaam-Dox,Nealy Tander,164,9
11,Latlux,Lanny Matashkin,1923,7
12,Duobam,Dael Monsey,1617,4
13,Viva,Corney Olpin,1444,3
14,Biodex,Colette Malim,450,3
15,Tin,Jorgan Ilett,770,8
16,Bytecard,Christa Gladdish,1431,3
17,Cardguard,Gaby Tubbs,1747,4
18,Alphazap,Ciro Buddleigh,1495,9
19,Cookley,Nikolaos Rickert,1010,9
20,Span,Robbin Weeden,1199,10
21,Tempsoft,Nikkie Flitcroft,1376,7
22,Bitchip,Darelle Griffitt,1635,3
23,Alphazap,Cello Weafer,1549,9
24,Latlux,Bobbye Rabbitt,71,1
25,Tempsoft,Fairlie de Quesne,848,3
26,Holdlamis,Candace Harkness,214,7
27,Fix San,Barnebas Brugemann,599,7
28,Bamity,Shaylah Tradewell,470,2
29,Alphazap,Dixie Glencrash,1221,1
30,Subin,Benedicto Blazek,1517,3
31,Bytecard,Mellicent Reavey,524,7
32,Treeflex,Kerk Mandry,1453,10
33,Hatity,Cristal Blair,754,6
34,Regrant,Reina Stigger,1740,10
35,Asoka,Jacky Asmus,1160,8
36,Pannier,Paton Barth,1275,1
37,Overhold,Titus Quaif,1340,6
38,Sonair,Janek Leabeater,1512,10
39,Namfix,Babbette Clissold,1472,9
40,Hatity,Elyn Menichino,1106,2
41,Stringtough,Vitoria Bulpitt,1753,6
42,Aerified,Earle McClymont,1672,4
43,Latlux,Fabian Woodroff,1828,3
44,Andalax,Helenelizabeth Coolahan,971,5
45,Tresom,Parsifal Cardoso,42,1
46,Tin,Nedi Dady,1993,4
47,Vagram,Meade Woodford,222,2
48,Namfix,Rodney Flieg,1966,9
49,Stronghold,Wells Brannan,63,4
50,Lotlux,Kristy Zannolli,447,7
51,Konklab,Adolf Bluett,1135,5
52,Veribet,Gareth Broe,953,2
53,Voltsillam,Mellie Gallegos,1385,9
54,Bamity,Chrissie Ricketts,1488,8
55,Cardify,Katherina Woolatt,1315,4
56,Bytecard,Cleo Edleston,920,4
57,Lotlux,Averill Boath,51,2
58,Keylex,Erl Samsonsen,1295,3
59,Duobam,Ephraim Collingham,1276,1
60,Bytecard,Des Monsey,1854,2
61,Gembucket,Nicoli Riding,996,6
62,Subin,Ellette Gabbott,718,1
63,Solarbreeze,Wilt Verdy,2,5
64,Bitwolf,Sunshine Tavinor,643,3
65,It,Des Wohlers,326,4
66,Bamity,Joellyn Brittin,1249,8
67,Prodder,Jonathan Marklow,111,1
68,Treeflex,Xever Baines,837,10
69,Alphazap,Pammi Lehrle,1694,3
70,Temp,Abramo Barnett,1161,8
71,Latlux,Robinetta Whatling,1474,6
72,Sub-Ex,Ursuline Lismore,581,5
73,Lotstring,Jennine D'Enrico,1024,6
74,Alpha,Reta Conrath,1540,9
75,Domainer,Kile Kingsnorth,1056,6
76,Rank,Morgen Childs,511,3
77,Zaam-Dox,Miranda Mounsey,911,9
78,Bytecard,Dyna Ambler,1683,4
79,Holdlamis,Martelle Liversidge,53,8
80,Greenlam,Brett Plaxton,318,1
81,Daltfresh,Mareah Beams,348,9
82,Treeflex,Marillin Cordero,557,8
83,Stringtough,Hadley Wynes,1378,1
84,Prodder,Lorry Haliday,740,10
85,Bitchip,Haywood Klaaassen,1187,9
86,Wrapsafe,Mallissa Eustice,1288,1
87,Home Ing,Gordy Gabby,389,10
88,Otcom,Joanne Adame,1665,2
89,Tresom,Adelheid Braisby,195,10
90,Opela,Dari Leslie,243,7
91,Zontrax,Stanislas Rainsdon,732,4
92,Flowdesk,Mordecai Byars,735,6
93,Regrant,Amity Glowacha,972,8
94,Tampflex,Charin Alvares,1125,2
95,Redhold,Alano Corey,251,6
96,Y-Solowarm,Constanta Featherstonehaugh,1775,4
97,Cardify,Barret Livingstone,769,9
98,Vagram,Jard Skillings,316,4
99,Transcof,Idell Toleman,1601,5
100,Andalax,Norine Minifie,110,8
101,Flexidy,Tracy Milch,1340,8
102,Gembucket,Rhianon Hurdman,1824,10
103,Bitwolf,Doria Veltman,61,8
104,Alpha,Marlane Ridding,1331,1
105,Tin,Barnabas Ellesworthe,1515,2
